@RELATION IrisGeometicFeatures_TestingSet

@ATTRIBUTE 1	REAL
@ATTRIBUTE 2	REAL
@ATTRIBUTE 3	REAL
@ATTRIBUTE 4	REAL
@ATTRIBUTE 5	REAL
@ATTRIBUTE class	{1,2,3}

@DATA
2,7,5,38013.2711,1.7742,1
2,5,3,38013.2711,1.746,1
2,7,5,35968.0943,1.7833,1
2,5,3,36643.5367,1.7143,1
0,5,5,38013.2711,1.7742,1
0,3,3,38013.2711,1.6923,1
0,3,3,38013.2711,1.746,1
2,2,0,36643.5367,1.7143,1
7,7,0,40114.9966,2.825,1
7,3,4,39408.1382,2.9474,1
8,3,5,38013.2711,2.8947,1
7,5,2,39408.1382,2.6667,1
2,3,1,34636.059,3.2813,1
3,3,0,35968.0943,3.3438,1
2,3,1,35968.0943,3.0571,1
2,5,3,34636.059,3.1818,1
0,3,3,47529.1553,2.05,1
2,5,3,47529.1553,2.05,1
2,3,1,43005.2618,2.4375,1
2,3,1,46759.4651,2.5957,1
2,2,0,45238.9342,2.3077,1
8,0,8,45238.9342,2.3077,1
0,5,5,46759.4651,2.5417,1
3,3,0,41547.5628,2.6744,1
3,3,0,35968.0943,2.8919,1
3,5,2,38013.2711,2.973,1
2,5,3,35968.0943,3.0571,1
2,7,5,41547.5628,3.4848,1
0,5,5,32685.13,2.9143,1
0,5,5,32685.13,3.1875,1
2,5,3,34636.059,2.7632,1
0,5,5,38013.2711,2.5581,1
2,0,2,43743.5361,1.9032,1
7,2,5,41547.5628,1.8254,1
2,2,0,43005.2618,2.4894,1
2,3,1,41547.5628,2.5556,1
3,3,0,43005.2618,2.1273,1
5,5,0,41547.5628,1.8254,1
0,3,3,39408.1382,2.6667,1
0,3,3,39408.1382,2.6667,1
0,3,3,38013.2711,2.2917,1
2,3,1,35968.0943,2.14,1
2,5,3,38013.2711,2.3404,1
2,7,5,39408.1382,2.6047,1
2,2,0,35968.0943,2.2292,1
2,2,0,36643.5367,2.16,1
0,0,0,38013.2711,2.2,1
2,0,2,35968.0943,2.3778,1
5,3,2,47529.1553,2.3208,1
0,7,7,46759.4651,2.3462,1
5,5,0,43743.5361,2.5106,1
0,5,5,45238.9342,2.5532,1
3,0,3,43743.5361,2.0702,1
3,2,1,43005.2618,2.0526,1
3,2,1,43743.5361,2.8095,1
5,2,3,43005.2618,2.7857,1
3,5,2,43005.2618,2.4375,1
5,7,2,41547.5628,2.3,1
3,5,2,36643.5367,2.0377,1
5,3,2,39408.1382,1.9649,1
0,5,5,41547.5628,2.0175,1
2,3,1,39408.1382,2.24,1
2,2,0,34636.059,2.1,1
0,3,3,34636.059,2.1,1
5,5,0,35968.0943,2.5476,1
5,5,0,35968.0943,2.4884,1
5,5,0,35968.0943,2.4884,1
3,3,0,35968.0943,2.5476,1
3,3,0,33329.1565,2.575,1
3,3,0,35968.0943,2.4884,1
5,3,2,31415.9265,2.6316,1
5,2,3,32685.13,3.0909,1
5,7,2,46759.4651,2.7111,1
5,5,0,43005.2618,2.7209,1
3,5,2,45238.9342,2.6667,1
7,5,2,45238.9342,2.7907,1
3,2,1,43743.5361,2.5106,1
3,2,1,43005.2618,2.7857,1
3,3,0,43743.5361,2.2692,1
5,2,3,43743.5361,2.7442,1
7,9,2,38013.2711,2.619,1
2,5,3,35968.0943,2.8919,1
3,5,2,35968.0943,3.0571,1
0,8,8,39408.1382,3.2,1
7,2,5,33329.1565,2.7105,1
5,3,2,34636.059,3,1
8,3,5,32685.13,2.9143,1
5,3,2,33329.1565,3.2188,1
2,10,8,38013.2711,3.3333,1
2,8,6,35968.0943,3.8214,1
0,8,8,40114.9966,3.4242,1
2,7,5,39408.1382,3.3939,1
5,5,0,41547.5628,3.4848,1
3,7,4,36643.5367,3.375,1
2,3,1,38013.2711,3.1429,1
2,5,3,38013.2711,3.3333,1
5,8,3,41547.5628,2.3,1
2,10,8,43005.2618,2.6,1
3,10,7,40114.9966,2.6905,1
3,10,7,39408.1382,2.8,1
3,3,0,38013.2711,2.619,1
3,3,0,38013.2711,2.3404,1
5,2,3,39408.1382,2.24,1
3,5,2,39408.1382,2.8,1
2,5,3,43743.5361,1.9667,1
3,7,4,43743.5361,2.0345,1
0,7,7,40114.9966,2.0545,1
2,5,3,45238.9342,1.8462,1
3,3,0,43005.2618,2.4375,1
5,5,0,45238.9342,2.5,1
5,3,2,43005.2618,2.34,1
2,3,1,43005.2618,2.2075,1
5,5,0,39408.1382,2.4889,1
3,5,2,36643.5367,2.7,1
3,7,4,38013.2711,2.2,1
0,2,2,38013.2711,2.2,1
3,5,2,43743.5361,2.6222,1
2,5,3,36643.5367,2.5714,1
2,3,1,38013.2711,2.2917,1
2,5,3,38013.2711,2.2917,1
3,3,0,43743.5361,2.8095,1
2,5,3,45238.9342,2.8571,1
2,5,3,43005.2618,2.7857,1
0,5,5,41547.5628,2.875,1
5,3,2,43743.5361,2.4583,1
7,3,4,43005.2618,2.6,1
5,3,2,39408.1382,2.4889,1
5,3,2,39408.1382,2.6667,1
3,3,0,36643.5367,2.0769,1
5,3,2,36643.5367,2.25,1
3,3,0,35968.0943,2.2766,1
2,3,1,35968.0943,2.2766,1
0,3,3,34636.059,2.1,1
2,2,0,35968.0943,2.2292,1
2,2,0,31415.9265,2.381,1
0,2,2,33329.1565,2.3953,1
7,5,2,41547.5628,2.1698,1
5,7,2,41547.5628,2.0909,1
5,5,0,38013.2711,1.8966,1
5,7,2,38013.2711,1.8966,1
5,2,3,39408.1382,1.7231,1
7,3,4,35968.0943,1.8772,1
7,5,2,36643.5367,1.8947,1
5,3,2,36643.5367,1.9636,1
3,8,5,39408.1382,2.8,1
3,10,7,39408.1382,2.9474,1
3,8,5,38013.2711,2.619,1
2,8,6,40114.9966,2.6279,1
7,5,2,39408.1382,2.383,1
5,7,2,36643.5367,2.9189,1
7,3,4,39408.1382,2.383,1
2,3,1,38013.2711,2.4444,1
0,5,5,43743.5361,2.1455,1
2,2,0,45238.9342,2.2642,1
2,5,3,43743.5361,2.36,1
0,3,3,41547.5628,2.3,1
0,2,2,43005.2618,2.25,1
3,2,1,50670.7479,2.1897,1
3,5,2,46759.4651,2.1034,1
0,3,3,47529.1553,2.2364,1
3,5,2,38013.2711,2.8947,2
5,6,1,43743.5361,2.6222,2
3,3,0,41547.5628,2.7381,2
3,5,2,41547.5628,2.6744,2
2,3,1,39408.1382,2.9474,2
2,3,1,45238.9342,2.6667,2
3,2,1,40114.9966,2.6279,2
2,3,1,39408.1382,2.6047,2
2,5,3,36643.5367,2.0769,2
2,7,5,33329.1565,2.1915,2
3,7,4,33329.1565,2.2889,2
3,7,4,33329.1565,2.3953,2
5,3,2,31415.9265,2.2222,2
5,2,3,31415.9265,2.0833,2
3,3,0,29559.2453,2.3095,2
3,2,1,34636.059,2.3333,2
3,5,2,39408.1382,1.931,2
7,3,4,38013.2711,1.8966,2
3,7,4,43743.5361,1.8154,2
2,5,3,36643.5367,1.8621,2
2,2,0,36643.5367,2.25,2
2,3,1,35968.0943,2.0577,2
2,3,1,43005.2618,2.0526,2
0,5,5,43005.2618,2.0172,2
3,5,2,38013.2711,3.3333,2
5,5,0,38013.2711,3.3333,2
2,3,1,41547.5628,2.875,2
2,5,3,40114.9966,2.825,2
3,3,0,36643.5367,3.0857,2
3,2,1,43743.5361,3.1892,2
3,2,1,38013.2711,2.8947,2
0,2,2,39408.1382,3.027,2
3,7,4,41547.5628,2.0909,2
5,3,2,40114.9966,2.3542,2
7,3,4,41547.5628,2.3958,2
5,5,0,43005.2618,2.4894,2
7,3,4,39408.1382,2.1132,2
5,2,3,38013.2711,2.2,2
7,2,5,39408.1382,2.24,2
5,2,3,35968.0943,2.2766,2
0,8,8,43743.5361,2.8095,2
3,10,7,43005.2618,3.5455,2
0,7,7,36643.5367,3.0857,2
2,8,6,38013.2711,3.3333,2
2,5,3,43005.2618,2.7857,2
3,5,2,43743.5361,2.7442,2
2,3,1,34636.059,2.4419,2
2,5,3,36643.5367,3.0857,2
2,7,5,39408.1382,2.8,2
5,5,0,40114.9966,2.6905,2
5,5,0,40114.9966,2.5111,2
5,3,2,40114.9966,2.825,2
3,3,0,35968.0943,2.4884,2
5,2,3,38013.2711,2.619,2
2,3,1,36643.5367,2.4,2
2,3,1,36643.5367,2.7,2
7,2,5,35968.0943,2.2292,2
5,3,2,38013.2711,2.3404,2
5,5,0,36643.5367,2.5714,2
5,3,2,39408.1382,2.4889,2
2,2,0,43005.2618,2.4375,2
2,2,0,45238.9342,2.6667,2
2,2,0,33329.1565,2.3953,2
5,0,5,38013.2711,2.8947,2
7,8,1,41547.5628,3.0263,2
7,8,1,41547.5628,3.4848,2
7,7,0,39408.1382,2.8,2
5,7,2,41547.5628,2.6744,2
7,5,2,39408.1382,2.9474,2
2,5,3,43743.5361,2.8095,2
5,5,0,38013.2711,2.973,2
8,7,1,39408.1382,3.027,2
2,7,5,39408.1382,2.6047,2
2,7,5,38013.2711,2.619,2
3,7,4,40114.9966,2.5111,2
3,7,4,40114.9966,2.6905,2
0,2,2,36643.5367,2.8421,2
2,3,1,40114.9966,2.6279,2
2,3,1,36643.5367,2.7,2
3,3,0,36643.5367,2.5714,2
5,5,0,36643.5367,3.375,2
5,5,0,36643.5367,3.6,2
