@RELATION IrisGeometicFeatures_TrainingSet

@ATTRIBUTE 1	REAL
@ATTRIBUTE 2	REAL
@ATTRIBUTE 3	REAL
@ATTRIBUTE 4	REAL
@ATTRIBUTE 5	REAL
@ATTRIBUTE class	{1,2,3}

@DATA
5,5,0,39408.1382,1.9649,1
5,5,0,38013.2711,1.9298,1
2,5,3,34636.059,2.4419,1
0,7,7,36643.5367,2.5116,1
3,3,0,36643.5367,1.9636,1
0,3,3,35968.0943,1.8772,1
3,5,2,35968.0943,2.0577,1
0,3,3,36643.5367,2.0377,1
3,10,7,43005.2618,2.1273,1
2,8,6,39408.1382,2.3333,1
3,10,7,39408.1382,2.3333,1
0,10,10,41547.5628,2.0909,1
5,7,2,39408.1382,2.1132,1
5,7,2,41547.5628,2.4468,1
5,7,2,40114.9966,2.0545,1
5,7,2,40114.9966,2.1321,1
2,8,6,39408.1382,2.6667,1
2,7,5,36643.5367,2.5714,1
2,7,5,39408.1382,2.383,1
0,8,8,38013.2711,2.5581,1
3,5,2,35968.0943,2.675,1
3,5,2,35968.0943,2.5476,1
3,5,2,33329.1565,2.575,1
3,3,0,35968.0943,2.2766,1
7,2,5,40114.9966,2.1321,1
3,3,0,40114.9966,2.1731,1
3,3,0,40114.9966,2.4043,1
3,3,0,41547.5628,2.0909,1
2,3,1,38013.2711,2.0755,1
7,2,5,40114.9966,2.0545,1
3,2,1,39408.1382,2.3333,1
2,2,0,36643.5367,2.0769,1
0,7,7,41547.5628,3.0263,1
0,7,7,43005.2618,3.1622,1
5,7,2,43743.5361,2.4583,1
0,7,7,43743.5361,3.1892,1
0,3,3,41547.5628,3.0263,1
2,5,3,40114.9966,2.9737,1
2,3,1,43005.2618,3.1622,1
7,3,4,40114.9966,3.2286,1
2,3,1,38013.2711,2.1154,1
2,7,5,33329.1565,2.1915,1
2,7,5,34636.059,2.5,1
3,8,5,34636.059,2.5,1
2,5,3,32685.13,2.04,1
3,3,0,39408.1382,2.1132,1
5,7,2,31415.9265,2.5,1
3,5,2,32685.13,2.4286,1
3,8,5,40114.9966,2.6905,1
2,10,8,40114.9966,2.6279,1
2,8,6,38013.2711,2.4444,1
5,7,2,39408.1382,2.383,1
5,2,3,38013.2711,2.619,1
2,3,1,39408.1382,2.383,1
3,3,0,39408.1382,2.8,1
3,2,1,36643.5367,2.0377,1
2,3,1,35968.0943,2.14,1
3,3,0,34636.059,2.234,1
3,2,1,34636.059,2.1,1
2,2,0,36643.5367,2.25,1
3,3,0,32685.13,2.125,1
3,2,1,31415.9265,2.3256,1
2,3,1,31415.9265,2.381,1
0,5,5,32685.13,2.1702,1
3,0,3,38013.2711,1.9298,1
3,2,1,39408.1382,1.931,1
5,3,2,39408.1382,1.931,1
3,5,2,36643.5367,2.0377,1
3,0,3,40114.9966,1.9825,1
2,3,1,43005.2618,1.8871,1
2,3,1,38013.2711,1.746,1
5,0,5,36643.5367,1.6119,1
5,2,3,34636.059,2.3333,1
7,3,4,38013.2711,2.4444,1
3,3,0,33329.1565,2.7105,1
5,0,5,32685.13,2.6842,1
3,2,1,35968.0943,2.2292,1
3,2,1,35968.0943,2.675,1
5,2,3,34636.059,2.5,1
3,3,0,31415.9265,2.5,1
7,5,2,38013.2711,2.4444,1
7,8,1,39408.1382,2.4889,1
7,10,3,38013.2711,2.5581,1
8,10,2,40114.9966,2.5111,1
2,5,3,39408.1382,2.4889,1
2,0,2,34636.059,2.3333,1
3,0,3,34636.059,2.625,1
3,2,1,34636.059,2.5,1
0,5,5,41547.5628,2.7381,1
0,2,2,40114.9966,2.26,1
2,5,3,43743.5361,2.2692,1
0,5,5,41547.5628,2.1698,1
2,0,2,36643.5367,2.5116,1
3,0,3,39408.1382,2.6047,1
3,3,0,36643.5367,2.0377,1
2,2,0,39408.1382,2.1538,1
3,8,5,43743.5361,1.9667,1
0,6,6,38013.2711,2.0755,1
5,8,3,45238.9342,2.1818,1
3,2,1,41547.5628,2.2115,1
3,2,1,41547.5628,1.9828,1
5,0,5,40114.9966,1.9825,1
3,5,2,40114.9966,2.4043,1
2,5,3,43005.2618,2.4894,1
3,3,0,43005.2618,2.34,1
7,7,0,41547.5628,2.3,1
3,5,2,40114.9966,2.0545,1
7,5,2,41547.5628,2.1698,1
3,2,1,38013.2711,2.5581,1
0,2,2,41547.5628,2.0909,1
0,0,0,40114.9966,2.5111,1
2,0,2,40114.9966,2.0545,1
2,8,6,41547.5628,2.6744,1
2,7,5,41547.5628,2.7381,1
0,5,5,36643.5367,2.2979,1
2,5,3,43743.5361,2.4583,1
5,5,0,41547.5628,2.5556,1
2,5,3,40114.9966,2.6279,1
2,3,1,41547.5628,2.3,1
2,5,3,41547.5628,2.0909,1
5,2,3,43743.5361,2.0345,1
3,5,2,39408.1382,1.931,1
3,5,2,40114.9966,1.9483,1
2,5,3,40114.9966,1.9483,1
5,7,2,35968.0943,1.7258,1
2,3,1,38013.2711,1.8966,1
2,3,1,36643.5367,1.8947,1
3,2,1,36643.5367,1.7419,1
3,3,0,38013.2711,2.0755,1
3,5,2,38013.2711,2.0755,1
5,3,2,36643.5367,2.0769,1
3,3,0,39408.1382,2.24,1
5,0,5,36643.5367,2.0769,1
5,0,5,35968.0943,2.14,1
